Seq.,,Produto,,,Unidade,,,,,,C*,,,% Acum.,
,,,,,,,Custo Unitário,,Qtd Consumo,Vl Custo Período,,,Custo Acumulado,,
,67,,156652,WINDUZA 100MG FR/AMP SC-AZACITIDINA(QT),,FA C/100MG,,"446,7629",86,"38.421,61",,A,"5.707.222,30",,"46,23"
,68,,4967,PAPEL SULFITE ALCALINO BRANCO A4 75G 210X297MM PCT 500 FLS,,UNIDADE,,"22,5544",1688,"38.071,91",,A,"5.745.294,20",,"46,54"
,69,,3393,TENOXICAM 20MG FR/AMP IM/EV CRISTALIA,,FA C/20MG,,"6,6831",5559,"37.151,46",,A,"5.782.445,66",,"46,84"
,70,,2297,MERONEM 1.000MG FR/AMP EV-MEROPENEM,,FA C/1000MG,,"63,7801",566,"36.099,51",,A,"5.818.545,18",,"47,14"
,71,,151184,SARCLISA 500MG/25ML FR/AMP EV-ISATUXIMABE,,FA C/500MG,,"11.880,3700",3,"35.641,11",,A,"5.854.186,29",,"47,42"
,72,,157112,KIT CATETER ASPIRACAO INDIGO 6FR 140CM-CATRXKIT,,UNIDADE,,"35.500,0000",1,"35.500,00",,A,"5.889.686,29",,"47,71"
,73,,19561,DIETA PARENTERAL NUTRIFICA PADRAO GERAL 1.000 A 1799ML,,MILILITRO,,"0,4340",80654,"35.003,91",,A,"5.924.690,20",,"48,00"
,74,,89543,"FIO GUIA PRESSUREWIRE 175CM 0,014POL-C12059",,UNIDADE,,"11.491,6667",3,"34.475,00",,A,"5.959.165,20",,"48,27"
,75,,39427,FIBRA OTICA OPTILITE 200µM-CGH1020F,,UNIDADE,,"2.642,3077",13,"34.350,00",,A,"5.993.515,20",,"48,55"
,76,,23615,ERBITUX 5MG/ML-20ML FR/AMP EV-CETUXIMABE(QT),,FA C/100MG,,"771,0102",44,"33.924,45",,A,"6.027.439,65",,"48,83"
,77,,28761,PANTOCAL 4MG/ML-10ML FR/AMP EV-PANTOPRAZOL,,FA C/40MG,,"12,9989",2447,"31.808,21",,A,"6.059.247,85",,"49,09"
,78,,30627,AGENTE EMBOLIZANTE ONYX 18-1057200060,,UNIDADE,,"15.900,0000",2,"31.800,00",,A,"6.091.047,85",,"49,34"
,79,,32221,CATETER ZELANTE ANGIOJET DVT-114610002,,UNIDADE,,"31.600,0000",1,"31.600,00",,A,"6.122.647,85",,"49,60"
,80,,220324,BIOMATERIAL P/ENXERTO OSSTION PASTA 1ML-08010001,,UNIDADE,,"15.800,0000",2,"31.600,00",,A,"6.154.247,85",,"49,86"
,81,,108369,"KESIMPTA 20MG/ML-0,4ML CAN PREENC SC-OFATUMUMABE",,CAN C/20MG,,"10.500,9922",3,"31.502,98",,A,"6.185.750,83",,"50,11"
,82,,91765,YERVOY 5MG/ML-10ML FR/AMP EV-IPILIMUMABE(GELAD),,FA C/50MG,,"15.689,0704",2,"31.378,14",,A,"6.217.128,97",,"50,36"
Seq.,,Produto,,,Unidade,,,,,,C*,,,% Acum.,
,,,,,,,Custo Unitário,,Qtd Consumo,Vl Custo Período,,,Custo Acumulado,,
,83,,1385,INVANZ 1.000MG FR/AMP IM/EV-ERTAPENEM,,FA C/1000MG,,"214,2608",145,"31.067,82",,A,"6.248.196,79",,"50,62"
,84,,14488,"FIO GUIA HIDROFILICO RADIFOCUS 0,035 180CM-RFGA35183M",,UNIDADE,,"834,8649",37,"30.890,00",,A,"6.279.086,79",,"50,87"
,85,,28940,(BC)EQUIPO TROMBECTOMIA ANGIOJET SOLENT OMNI-109681004,,UNIDADE,,"30.020,0000",1,"30.020,00",,A,"6.309.106,79",,"51,11"
,86,,100849,TREMFYA 100MG/ML-1ML SER PREEN SC-GUSELCUMABE,,SERINGA PREEN,,"14.654,7293",2,"29.309,46",,A,"6.338.416,25",,"51,35"
,87,,89457,KIT HEMOFILTRO/DIALISADOR C/HEPARINA OXIRIS-973003,,UNIDADE,,"1.700,0088",17,"28.900,15",,A,"6.367.316,40",,"51,58"
,88,,941,"CLORETO SODIO 0,9%-100ML PVC EV BAXTER",,FRASC C/100ML,,"2,7052",10681,"28.894,67",,A,"6.396.211,07",,"51,82"
,89,,214536,ESBRIET 267 MG CAPS(PIRFENIDONA),,CAPS C/267MG,,"51,8064",540,"27.975,44",,A,"6.424.186,51",,"52,04"
,90,,220325,"PARAFUSO AUTOPERFURANTE HEXANIUM ACIF 3,5X16MM-AC2SD3516S",,UNIDADE,,"13.900,0000",2,"27.800,00",,A,"6.451.986,51",,"52,27"
,91,,152473,"FIXADOR EXTERNO LINEAR TIPO JURGAN 1,5MM-F108300",,UNIDADE,,"4.566,6667",6,"27.400,00",,A,"6.479.386,51",,"52,49"
,92,,17529,FERINJECT 50MG/ML-10ML AMP-CARBOXIMALTOSE FERRICA,,AMP C/500MG,,"455,8211",60,"27.349,27",,A,"6.506.735,77",,"52,71"
,93,,207786,(BC)CATETER BALAO PTA PASSEO 18 5X120MM 130CM-370870,,UNIDADE,,"27.000,0000",1,"27.000,00",,A,"6.533.735,77",,"52,93"
,94,,34050,"ZERBAXA 1/0,5G FR/AMP EV-CEFTOLOZANA/TAZOBACTAM(GELAD)",,FRASCO/AMPOL,,"344,0934",78,"26.839,28",,A,"6.560.575,06",,"53,15"
,95,,140430,VERZENIOS 100MG COMP REV-ABEMACICLIBE,,COMP C/100MG,,"147,9588",180,"26.632,58",,A,"6.587.207,63",,"53,36"
,96,,21357,GERADOR PULSO CARDIACA ALLURE RF 55X59X6MM-PM3222,,UNIDADE,,"26.200,0000",1,"26.200,00",,A,"6.613.407,63",,"53,57"
,97,,91727,LIBTAYO 350MG FR/AMP EV-CEMIPLIMABE(GELAD)(QT),,FA C/350MG,,"26.141,3705",1,"26.141,37",,A,"6.639.549,00",,"53,79"
,98,,91797,KADCYLA 160MG FR/AMP EV-TRASTUZUMABE ETANSINA(GELAD)(QT),,FA C/160MG,,"13.043,4704",2,"26.086,94",,A,"6.665.635,94",,"54,00"
,99,,39049,SELANTE DURASEAL EXACT 5ML-206520,,UNIDADE,,"26.000,0000",1,"26.000,00",,A,"6.691.635,94",,"54,21"
,100,,216475,KIT EASY FLEX PLUS-6600022,,UNIDADE,,"26.000,0000",1,"26.000,00",,A,"6.717.635,94",,"54,42"
,101,,27992,"STENT FARMACOLOGICO ZILVER PTX 6,0X120MM-ZISV63512560120PTX",,UNIDADE,,"25.440,0000",1,"25.440,00",,A,"6.743.075,94",,"54,63"
,102,,19893,HEMOLENTA 5.000ML BOLSA SF EV-CLOR SODIO/SULF MAGNESIO,,BOLSA C/5000ML,,"55,5083",453,"25.145,26",,A,"6.768.221,20",,"54,83"
Seq.,,Produto,,,Unidade,,,,,,C*,,,% Acum.,
,,,,,,,Custo Unitário,,Qtd Consumo,Vl Custo Período,,,Custo Acumulado,,
,103,,88704,(BC)KIT ENXERTO OSSEO GENEX 10CC-900010,,UNIDADE,,"25.000,0000",1,"25.000,00",,A,"6.793.221,20",,"55,03"
,104,,208637,PIPERACILINA/TAZOBACTAM 4.000/500 MG FR/AMP EV-EUGIA,,FRASCO/AMPOL,,"12,8012",1923,"24.616,79",,A,"6.817.837,99",,"55,23"
,105,,202255,"LONSURF 20/8,19 MG COMP REV(TRIFLURIDINA/TIPIRACILA)",,COMPRIMIDO,,"244,4700",100,"24.447,00",,A,"6.842.284,99",,"55,43"
