,,,,,,,,,,,,,,,,,"% Sobre o
Vl Total"
Seq.,,Produto,,,Unidade,,,,,,,,,,,,
71,36052,,"ATADURA CREPOM NEVE 13 FIOS 10CMX1,80M-7911905",UNIDADE,,,,"1,1342",,66,,"74,86",,"19.927,45",,"0,01 %",
72,7994,,ATADURA GESSADA CREMER 10CMX3M-216080,UNIDADE,,C,,"1,6944",,9,,"15,25",,"19.942,70",,"0,00 %",
,,,,,,,,,,,,,,,,,"% Sobre o
Vl Total"
Seq.,,Produto,,,Unidade,,,,,,,,,,,,
,,,,,,,Cl,,Custo Unitário,,Qtd Consumo,,Vl Custo Período,,Custo Acumulado,,
73,7995,,ATADURA GESSADA CREMER 15CMX3M-214352,UNIDADE,,C,,"2,8565",,68,,"194,25",,"20.136,94",,"0,02 %",
74,7996,,ATADURA GESSADA CREMER 20CMX4M-216097,UNIDADE,,C,,"4,5191",,26,,"117,50",,"20.254,44",,"0,01 %",
75,83560,,ATENOLOL 25MG COMP REV SANDOZ,COMP C/25MG,,,,"0,0500",,3,,"0,15",,"20.254,59",,"0,00 %",
76,899,,ATENSINA 100MCG COMP-CLONIDINA,COMP C/100MCG,,C,,"0,2548",,139,,"35,41",,"20.290,00",,"0,00 %",
77,332,,ATORVASTATINA 20MG COMP REV EMS,COMP C/20MG,,C,,"0,2836",,12,,"3,40",,"20.293,41",,"0,00 %",
78,104430,,"ATROFARMA 0,25MG/ML-1ML AMP EV-ATROPINA","AMP C/0,25MG",,,,"1,2364",,75,,"92,73",,"20.386,14",,"0,01 %",
79,346,,ATROPINA 10MG/ML-5ML FR OFTAL-ATROPINA,FRASC C/5ML,,C,,"11,1327",,12,,"133,59",,"20.519,73",,"0,01 %",
80,2706,,"ATURGYL 0,5MG/ML-15ML FR INAL-OXIMETAZOLINA",FRASC C/15ML,,C,,"15,6197",,13,,"203,06",,"20.722,79",,"0,02 %",
81,201608,,AVENTAL CIRURGICO STD ESTERIL G  40G-227014,UNIDADE,,,,"11,0560",,740,,"8.181,42",,"28.904,21",,"0,64 %",
82,201609,,AVENTAL CIRURGICO STD ESTERIL XG 40G-227033,UNIDADE,,,,"11,4500",,50,,"572,50",,"29.476,71",,"0,04 %",
83,217083,,AVENTAL DESC POLIPROPILENO MANGA LONGA 25G 120X140CM-PA0779,UNIDADE,,,,"2,1800",,1000,,"2.180,00",,"31.656,71",,"0,17 %",
84,8005,,AVENTAL SMS DESCART ESTERIL MANGA/PUNHO AZUL 40GR G-A4SMSG,UNIDADE,,,,"11,9004",,1,,"11,90",,"31.668,61",,"0,00 %",
85,44083,,AVIDE 100MG CAPS-RACECADOTRILA,CAPS C/100MG,,C,,"2,5412",,81,,"205,83",,"31.874,45",,"0,02 %",
86,181918,,AXIFLENNID 1MG/ML-100ML BOLSA EV-CETOPROFENO,BOLSA C/100MG,,,,"5,1958",,43,,"223,42",,"32.097,87",,"0,02 %",
87,354,,AZITROMICINA 500MG COMP REV EUROFARMA,COMP C/500MG,,,,"2,9074",,42,,"122,11",,"32.219,98",,"0,01 %",
88,46413,,AZITROMICINA 500MG FR/AMP EV CRISTALIA,FA C/500MG,,C,,"13,0000",,14,,"182,00",,"32.401,98",,"0,01 %",
